ID,Title,Company,Location,Link,Posted,Posted Date,Level,Keyword,Scraped At
1,AI/ML Engineer,Astro Sirens LLC,Pakistan,https://pk.linkedin.com/jobs/view/ai-ml-engineer-at-astro-sirens-llc-4393585844?position=2&pageNum=0&refId=l4%2B9b1LMdnzq5ZW2m2T5mg%3D%3D&trackingId=JzZI30mk2tUk0ZHqVMaPqw%3D%3D,16 hours ago,Ai Engineer,27efc6c08c60285c39dce0b1c9723fb5,2026-04-01 13:20:40.030282,Mid Level
2,"• AI Engineer (n8n, Go High Level, Vapi)",Fynora AI,Pakistan,https://pk.linkedin.com/jobs/view/%E2%80%A2-ai-engineer-n8n-go-high-level-vapi-at-fynora-ai-4396152928?position=16&pageNum=0&refId=l4%2B9b1LMdnzq5ZW2m2T5mg%3D%3D&trackingId=Hs7ri1OXjh%2BEHuzqFmgWNg%3D%3D,8 hours ago,Ai Engineer,7509591e49916ba9d4badb1adba5fcd5,2026-04-01 13:20:40.030282,Mid Level
3,AI Engineer,Veyn AI,"Islamabad, Islāmābād, Pakistan",https://pk.linkedin.com/jobs/view/ai-engineer-at-veyn-ai-4395039831?position=18&pageNum=0&refId=l4%2B9b1LMdnzq5ZW2m2T5mg%3D%3D&trackingId=XYa1jgA55PRujZBFpKjFBw%3D%3D,1 day ago,Ai Engineer,3c776912f0a37766205d5295dbffa324,2026-04-01 13:20:40.030282,Mid Level
4,Backend AI & Data Pipeline Engineer,Seeka Limited,"Islamabad, Islāmābād, Pakistan",https://pk.linkedin.com/jobs/view/backend-ai-data-pipeline-engineer-at-seeka-limited-4392576781?position=26&pageNum=0&refId=l4%2B9b1LMdnzq5ZW2m2T5mg%3D%3D&trackingId=IVcaOElMhH2WwZHS%2BjqUFw%3D%3D,1 day ago,Ai Engineer,ae8e2a7a77668fae95540b04c74ecf84,2026-04-01 13:20:40.030282,Mid Level
5,Artificial Intelligence Engineer - Exper Labs,Taraki,"Lahore, Punjab, Pakistan",https://pk.linkedin.com/jobs/view/artificial-intelligence-engineer-exper-labs-at-taraki-4392145542?position=30&pageNum=0&refId=l4%2B9b1LMdnzq5ZW2m2T5mg%3D%3D&trackingId=L7G1RFAGq7EmCWXQXepS4w%3D%3D,1 day ago,Ai Engineer,3edb236863df4809fa9129afa90ced8e,2026-04-01 13:20:40.030282,Mid Level
6,Senior ML Engineer,Arbisoft,"Punjab, Pakistan",https://pk.linkedin.com/jobs/view/senior-ml-engineer-at-arbisoft-4395855402?position=36&pageNum=0&refId=l4%2B9b1LMdnzq5ZW2m2T5mg%3D%3D&trackingId=AIf4QfSJStLBfWxCFdFqfA%3D%3D,18 hours ago,Ai Engineer,8453453be923906cb088971fa84d72ad,2026-04-01 13:20:40.030282,Senior
7,Senior AI Agent Engineer,Beam AI,"Karāchi, Sindh, Pakistan",https://pk.linkedin.com/jobs/view/senior-ai-agent-engineer-at-beam-ai-4393545264?position=43&pageNum=0&refId=l4%2B9b1LMdnzq5ZW2m2T5mg%3D%3D&trackingId=eDaYSp3JZ4sd92nwpdJrQA%3D%3D,20 hours ago,Ai Engineer,49c46bc219cc7603a933648bde07234f,2026-04-01 13:20:40.030282,Senior
8,Remote ML Engineer - 60735,Turing,Pakistan,https://pk.linkedin.com/jobs/view/remote-ml-engineer-60735-at-turing-4393203373?position=51&pageNum=0&refId=l4%2B9b1LMdnzq5ZW2m2T5mg%3D%3D&trackingId=qZypMkPN8gBi0Y9au7kj0A%3D%3D,1 day ago,Ai Engineer,846a8063d2eecd82eec4d544be75a0d7,2026-04-01 13:20:40.030282,Mid Level
9,Senior ML Engineer,Taraki,"Lahore, Punjab, Pakistan",https://pk.linkedin.com/jobs/view/senior-ml-engineer-at-taraki-4396273289?position=56&pageNum=0&refId=l4%2B9b1LMdnzq5ZW2m2T5mg%3D%3D&trackingId=%2BmxkChrBzdzJsa5%2FihDYdA%3D%3D,2 hours ago,Ai Engineer,fc6d43ce92d1afdb281625d90b768c2f,2026-04-01 13:20:40.030282,Senior
10,Senior ML Engineer - Arbisoft,Taraki,"Lahore, Punjab, Pakistan",https://pk.linkedin.com/jobs/view/senior-ml-engineer-arbisoft-at-taraki-4392410622?position=58&pageNum=0&refId=l4%2B9b1LMdnzq5ZW2m2T5mg%3D%3D&trackingId=pKKcACot6VxKgNFNwF21aA%3D%3D,19 hours ago,Ai Engineer,ab5d1580cbbae9b8599e06abe426dba8,2026-04-01 13:20:40.030282,Senior
11,Backend AI & Data Pipeline Engineer,Seeka Limited,"Islamabad, Islāmābād, Pakistan",https://pk.linkedin.com/jobs/view/backend-ai-data-pipeline-engineer-at-seeka-limited-4392576781?position=1&pageNum=2&refId=x7uvjQ%2BP%2BZYr9nRDsW%2FREA%3D%3D&trackingId=JiRIw6M5iH29mO5%2BcTFXeA%3D%3D,1 day ago,Ai Engineer,4499e8ea377b576a73946c1143efa245,2026-04-01 13:20:40.030282,Mid Level
12,Artificial Intelligence Engineer - Exper Labs,Taraki,"Lahore, Punjab, Pakistan",https://pk.linkedin.com/jobs/view/artificial-intelligence-engineer-exper-labs-at-taraki-4392145542?position=5&pageNum=2&refId=x7uvjQ%2BP%2BZYr9nRDsW%2FREA%3D%3D&trackingId=fcD9u3bN1fZd%2FSx%2BiEb%2BWg%3D%3D,1 day ago,Ai Engineer,18e7829c6c7b5118c9391306aa2f568e,2026-04-01 13:20:40.030282,Mid Level
